"""Datetime""","""Tweet ID""","""Text""","""Username""",Score
2021-02-01 08:52:12+00:00,1.36E+18,The incidents happened at Geylang Road and Forest Canopy Boardwalk at One-North Park Fusionopolis South.,stompsingapore,-0.296
2021-01-31 16:38:23+00:00,1.36E+18,"Here again, like always the North blame others for their woes. Refusing to accept responsibility for their backwardness. You may need to come to middle belt and preach ur one-North, after the carnage herdsmen have caused in that area. Just attempt",okeychima2002,-0.296
2021-01-31 13:52:06+00:00,1.36E+18,So. Erm quick question. Why is One-North not located in the north?,blackadlerqueen,-0.296
2021-01-31 01:57:20+00:00,1.36E+18,Just posted a photo @ One-North Eden ,Shawn_Kuah,-0.296
2021-01-09 16:54:49+00:00,1.35E+18,i don't know why one-north is not capitalized but i kinda like it that way,fidelicate,-0.2263
2021-01-09 13:48:56+00:00,1.35E+18,one-North - 9.47pm ,fureifurei,-0.2263
2021-01-05 09:17:02+00:00,1.35E+18,One-North Eden | Target launch date : Q1 2021 Highly Anticipated Brand New Development Located At One North Gateway One-North Eden is a mixed commercial &amp; housing development located in Dover estate. ,IiMarketplace,-0.2091
2020-12-16 10:30:16+00:00,1.34E+18,"Feel like going for a run along lush green corridors &amp; wide, open spaces? Whether you just started #running or are a seasoned runner, check out these scenic routes at Singapore Science Park and one-north! ",CapitaLand,-0.2023
2020-12-02 15:33:40+00:00,1.33E+18,"one-north. it gives off the 'i'M nOt LiKE OtHeR trAIn StATIoNs"" vibes",christinekxf,-0.1531
2020-12-01 12:29:52+00:00,1.33E+18,Why is one-north not capitalized AND hyphenated ,myleyantay,-0.1531
2020-11-18 10:25:28+00:00,1.33E+18,Shoutout to the 18:24 train at one-north that's always on time and always empty,morbidintel,-0.1531
2020-11-10 16:52:42+00:00,1.33E+18,did you know that one-north is the only mrt station that is in lowercase #indierock #music #indievibes https://t.co/ehQ9UzidMK,mahkaz,-0.145
2020-11-10 02:20:39+00:00,1.33E+18,There are new projects launch week after week.  Rymden 77 KI Residences The Landmark Clavon One-North Eden ......Lists continue.......,sktan5254,-0.1343
2020-11-06 10:35:38+00:00,1.32E+18,Leah and Linux. I'm set for an eventful weekend #doglikesdatatoo @ One-North Residences ,thedouble_helix,-0.128
2020-11-04 08:25:24+00:00,1.32E+18,[UPDATE] The items are here! Do fill in the meet up form (this friday at bishan) or DM me if you're able to make it for the meet up at one-north tmr between 1220-1240pm!,daysgone_buyss,-0.128
2020-11-03 17:59:09+00:00,1.32E+18,"Quit whatever crap you're doing and give me your attention - Leah (or her feet rather), Nov 3, 2020. #impawsible @ One-North Residences ",thedouble_helix,-0.128
2020-11-02 06:53:46+00:00,1.32E+18,im just fking lazy to travel to one-north everyday for one whole month AGAIN cb my ezlink money fly away alr,firhan_saifudin,-0.128
2020-10-14 11:55:59+00:00,1.32E+18,I think there's a major power fault affecting a lot of MRT lines in Singapore. one-North station which is the circle line has stopped services. Take note. And follow @SMRT_Singapore for more updates. Either that or angry Singaporean tweets hahaha.,JoakimGomez,-0.0772
2020-10-14 02:37:53+00:00,1.32E+18,"@MatthewMohanCNA With Mediacorp having moved from Caldecott, is she now the Queen of One-North?",liongooner,-0.0772
2020-10-13 04:59:31+00:00,1.32E+18,"I witnessed a similar back-and-forth drama play out at the road crossing between one-north MRT and Blk71 over a period of almost 5 years, and it's one of the things that gave me faith in my fellow Singaporeans. The commuters won ",visakanv,-0.0516
2020-10-12 14:55:28+00:00,1.32E+18,Going nowhere fast #work #life #covid19 @ one-north MRT Station,aklw,-0.0258
2020-10-02 04:58:25+00:00,1.31E+18,got subway inside one-north mrt station,iqkeriqballas,0.0243
2020-10-01 02:36:54+00:00,1.31E+18,Hi #Singapore! Do you want to learn #AI and #DeepLearning with an #expert? I will #teach a 3-day #course (lectures and coding exercises) on Dec 7-9 at One-North. Register here: https://t.co/hLoX28wFh3 @SkillsFutureSG @SmartNationSG @SGInnovate ,xbresson,0.0772
2020-09-29 02:57:45+00:00,1.31E+18,@thattallguyGabe You can turn across a bike lane if the intersection and signals are designed properly. Every street on cannon has a turn across a bike lane. The entire one-north two-south design is flawed as well. It's really sad to see the results of the overblown budgets of these departments,bikehounds,0.0772
2020-09-09 09:49:32+00:00,1.30E+18,CapitaLand's Rochester Commons in one-north slated for completion in Q4 ,sonalgupta0297,0.128
2020-09-09 09:22:28+00:00,1.30E+18,CapitaLand's Rochester Commons in one-north slated for completion in Q4 ,ReetuChoudhar14,0.128
2020-09-09 09:22:27+00:00,1.30E+18,CapitaLand's Rochester Commons in one-north slated for completion in Q4 ,MishraRutuja,0.128
