Datetime,Tweet ID,Text,Username,Score
"""2020-10-14 11:55:59+00:00""",1.32E+18,"""I think there 2019s a major power fault affecting a lot of MRT lines in Singapore. one-North station which is the circle line has stopped services. Take note. And follow @SMRT_Singapore for more updates.Either that or angry Singaporean tweets hahaha. inconvenient""","""JoakimGomez""",-0.836
"""2020-10-13 04:59:31+00:00""",1.32E+18,"""I witnessed a similar back-and-forth drama play out at the road crossing between one-north MRT and Blk71 over a period of almost 5 years, and it2019s one of the things that gave me faith in my fellow Singaporeans. The commuters won https://t.co/FbgOAH67Nz""","""visakanv""",-0.7974
"""2020-10-02 04:58:25+00:00""",1.31E+18,"""got subway inside one-north mrt station""","""iqkeriqballas""",-0.7845
"""2019-12-31 15:34:41+00:00""",1.21E+18,"""@kennesu_g the dream of working in one north zone, bc its close to my house and a fairly decent area to work at....versus some weird industrial area that has no mrt.convenient""","""CyanRhapsody""",-0.7804
"""2019-11-12 10:49:25+00:00""",1.19E+18,"""This old man took mrt at one-North had the nerve to push me? Dude. The cabin is full. F U L L FULL. PUSH  SOME MORE. SLAP YOUR FACE""","""RRdzan""",-0.743
"""2019-05-09 11:11:30+00:00""",1.13E+18,"""Been working at one-north for two years now, but I never realised that the mrt platform had...windows? https://t.co/mO4Y2Rh4VG""","""kuayunie""",-0.7351
"""2019-03-29 15:55:04+00:00""",1.11E+18,"""Calm.#flowers @ one-north MRT Station ""","""aprilius20""",-0.6597
"""2019-01-21 04:56:47+00:00""",1.09E+18,"""someone once said that one-north is the only mrt station that is not capitalized and now I2019m like... true... what do I do with this information..............! I can2019t forget it""","""zomega_""",-0.6532
"""2018-09-20 02:47:00+00:00""",1.04E+18,"""I want to be able to climb the stairs at the one-north MRT without wanting to die afterwardsTwitter, keep me accountable""","""shreyups""",-0.6416
"""2018-07-19 09:59:21+00:00""",1.02E+18,"""@chicken_guy Still no pedestrian crossing for JTC LaunchPad @ one-north00a0yet it's the main pedestrian route from MRT. Come on @jtccorp @LTAsg  @SmartNationSG this is low hanging fruit for smart nation #progress bad""","""paulsputer""",-0.6369
"""2018-04-19 01:23:13+00:00""",9.87E+17,"""One-north TOP 10 worst MRT stations bad""","""Sonic_Tardis""",-0.6249
"""2018-03-19 10:53:29+00:00""",9.76E+17,"""This \""area wet\"" situation at one-north MRT looked suspiciously like installation art ""","""visakanv""",-0.5826
"""2018-02-13 04:46:28+00:00""",9.63E+17,"""Cycling to office from one-north mrt station. Convenient ""","""egyikfan""",-0.5534
